ONE Detail Report

Date/Time: 1/24/2022 11:02:38
Filter: [Account] = 'IB1'
Grouping: Account

,Account,Expiration,TradeId,TradeName,Underlying,Status,TradeType,OpenDate,CloseDate,DaysToExpiration,DaysInTrade,Margin,Comms,PnL,PnLperc
,,Account,TradeId,Date,Transaction,Qty,Symbol,Expiry,Type,Description,Underlying,Price,Commission
IB1 
,,"IB1",287,10/18/2021 11:06:28 AM,Buy,2,SPX   220414P04075000,4/14/2022,Put,SPX Apr22 4075 Put,SPX,120.62,2.28
,,"IB1",287,10/18/2021 11:06:28 AM,Sell,4,SPX   220414P03775000,4/14/2022,Put,SPX Apr22 3775 Put,SPX,75.71,4.57
,,"IB1",287,10/18/2021 11:15:10 AM,Buy,1,SPX   211218P03025000,12/17/2021,Put,SPX Dec21 3025 Put,SPX,2.8,1.14
,,"IB1",287,10/19/2021 10:39:52 AM,Buy,2,SPX   220414P03775000,4/14/2022,Put,SPX Apr22 3775 Put,SPX,71.675,2.28
,,"IB1",287,10/19/2021 10:39:52 AM,Sell,2,SPX   220414P03800000,4/14/2022,Put,SPX Apr22 3800 Put,SPX,74.425,2.28
,,"IB1",287,10/20/2021 4:20:52 PM,Buy,2,SPX,,Stock,SPX Stock,SPX,4536.19,0.01
,,"IB1",287,10/21/2021 10:06:54 AM,Sell,2,SPX,,Stock,SPX Stock,SPX,4526,0.01
,,"IB1",287,10/21/2021 10:56:34 AM,Buy,3,SPX,,Stock,SPX Stock,SPX,4537.82,0.015
,,"IB1",287,10/21/2021 11:27:57 AM,Sell,3,SPX,,Stock,SPX Stock,SPX,4530.67,0.015
,,"IB1",287,10/26/2021 2:33:26 PM,Buy,2,SPX   220414P03800000,4/14/2022,Put,SPX Apr22 3800 Put,SPX,62.26,2.28
,,"IB1",287,10/26/2021 2:33:26 PM,Sell,2,SPX   220414P03775000,4/14/2022,Put,SPX Apr22 3775 Put,SPX,59.86,2.28
,,"IB1",287,10/26/2021 3:31:46 PM,Buy,3,SPX,,Stock,SPX Stock,SPX,4583.82,0.015
,,"IB1",287,11/9/2021 12:24:00 PM,Sell,3,SPX,,Stock,SPX Stock,SPX,4677,0.015
,,"IB1",287,11/12/2021 11:00:59 AM,Buy,1,SPX,,Stock,SPX Stock,SPX,4660.05,0.005
,,"IB1",287,11/16/2021 3:40:26 PM,Buy,2,SPX,,Stock,SPX Stock,SPX,4709.21,0.01
,,"IB1",287,11/17/2021 3:24:50 PM,Sell,1,SPX   211218P03025000,12/17/2021,Put,SPX Dec21 3025 Put,SPX,0.45,1.38
,,"IB1",287,11/26/2021 9:39:30 AM,Sell,3,SPX,,Stock,SPX Stock,SPX,4694.48,0.015
,,"IB1",287,12/7/2021 12:03:02 PM,Buy,4,SPX   220414P03775000,4/14/2022,Put,SPX Apr22 3775 Put,SPX,51.9,4.56
,,"IB1",287,12/7/2021 12:03:02 PM,Sell,4,SPX   220414P03800000,4/14/2022,Put,SPX Apr22 3800 Put,SPX,53.85,4.56
,,"IB1",287,12/22/2021 11:13:06 AM,Buy,2,SPX   220414P03100000,4/14/2022,Put,SPX Apr22 3100 Put,SPX,14.9885,2.28
