ONE Detail Report

Date/Time: 1/24/2022 11:02:38
Filter: [Account] = 'IB1'
Grouping: Account

,Account,Expiration,TradeId,TradeName,Underlying,Status,TradeType,OpenDate,CloseDate,DaysToExpiration,DaysInTrade,Margin,Comms,PnL,PnLperc
,,Account,TradeId,Date,Transaction,Qty,Symbol,Expiry,Type,Description,Underlying,Price,Commission
IB1 
,"IB1",1/31/2022,297,"242+2lp 2021-11-05",SPX,Open,Custom,11/5/2021 10:27 AM,,87,80,83658.03,53.24,684.97,0.82
,,"IB1",297,11/5/2021 10:27:21 AM,Buy,2,SPX   220414P03350000,4/14/2022,Put,SPX Apr22 3350 Put,SPX,24.44,2.24
,,"IB1",297,11/5/2021 10:27:21 AM,Buy,2,SPX   220414P04325000,4/14/2022,Put,SPX Apr22 4325 Put,SPX,109.41,2.24
,,"IB1",297,11/5/2021 10:27:21 AM,Sell,4,SPX   220414P04025000,4/14/2022,Put,SPX Apr22 4025 Put,SPX,68.4,4.49
,,"IB1",297,11/5/2021 10:32:01 AM,Buy,2,SPXW  220131P02600000,1/31/2022,Put,SPX Jan22 2600 Put,SPX,2.275,3.2
,,"IB1",297,11/12/2021 11:02:29 AM,Buy,1,SPX,,Stock,SPX Stock,SPX,4660.05,0.005
,,"IB1",297,11/16/2021 3:41:27 PM,Buy,2,SPX,,Stock,SPX Stock,SPX,4709.21,0.01
,,"IB1",297,11/26/2021 9:40:52 AM,Sell,3,SPX,,Stock,SPX Stock,SPX,4694.48,0.015
,,"IB1",297,12/7/2021 11:47:44 AM,Buy,4,SPX   220414P04025000,4/14/2022,Put,SPX Apr22 4025 Put,SPX,75.85,4.56
,,"IB1",297,12/7/2021 11:47:44 AM,Sell,4,SPX   220414P04050000,4/14/2022,Put,SPX Apr22 4050 Put,SPX,78.75,4.56
,,"IB1",297,12/14/2021 3:45:51 PM,Buy,2,SPX   220414P03500000,4/14/2022,Put,SPX Apr22 3500 Put,SPX,33.55,2.28
,,"IB1",297,12/14/2021 3:45:51 PM,Sell,2,SPX   220414P03350000,4/14/2022,Put,SPX Apr22 3350 Put,SPX,26.8,2.28
,,"IB1",297,12/22/2021 10:31:39 AM,Buy,4,SPX   220414P04050000,4/14/2022,Put,SPX Apr22 4050 Put,SPX,66.75,4.56
,,"IB1",297,12/22/2021 10:31:39 AM,Sell,4,SPX   220414P04075000,4/14/2022,Put,SPX Apr22 4075 Put,SPX,69.6,4.56
,,"IB1",297,1/21/2022 10:08:31 AM,Buy,4,SPX   220414P04075000,4/14/2022,Put,SPX Apr22 4075 Put,SPX,89.725,4.56
,,"IB1",297,1/21/2022 10:08:31 AM,Sell,4,SPX   220414P04050000,4/14/2022,Put,SPX Apr22 4050 Put,SPX,85.375,4.56
,,"IB1",297,1/24/2022 10:44:10 AM,Buy,4,SPX   220414P04050000,4/14/2022,Put,SPX Apr22 4050 Put,SPX,129.7754,4.56
,,"IB1",297,1/24/2022 10:44:10 AM,Sell,2,SPX   220414P04325000,4/14/2022,Put,SPX Apr22 4325 Put,SPX,215.5154,2.28
,,"IB1",297,1/24/2022 10:44:10 AM,Sell,2,SPX   220414P03500000,4/14/2022,Put,SPX Apr22 3500 Put,SPX,48.4354,2.28

,"IB1",1/31/2022,304,"Crash hedge 2021-11-30 14:09",SPX,Closed,Custom,11/30/2021 2:09 PM,12/7/2021 9:47 AM,62,7,-1.00,5.68,-876.40,0.00
,,"IB1",304,11/30/2021 2:09:24 PM,Buy,1,SPXW  220131P04275000,1/31/2022,Put,SPX Jan22 4275 Put,SPX,73.01,1.6
,,"IB1",304,11/30/2021 2:09:24 PM,Sell,1,SPXW  220131P04225000,1/31/2022,Put,SPX Jan22 4225 Put,SPX,65.46,1.6
,,"IB1",304,12/1/2021 9:38:35 AM,Sell,20,SPX,,Stock,SPX Stock,SPX,4580.42,0.09999999
,,"IB1",304,12/1/2021 9:55:35 AM,Buy,5,SPX,,Stock,SPX Stock,SPX,4616.51,0.025
,,"IB1",304,12/6/2021 12:26:28 PM,Buy,5,SPX,,Stock,SPX Stock,SPX,4592.11,0.025
,,"IB1",304,12/6/2021 3:35:00 PM,Buy,5,SPX,,Stock,SPX Stock,SPX,4592.17,0.025
,,"IB1",304,12/7/2021 9:33:10 AM,Buy,5,SPX,,Stock,SPX Stock,SPX,4654.17,0.025
,,"IB1",304,12/7/2021 9:47:10 AM,Buy,1,SPXW  220131P04225000,1/31/2022,Put,SPX Jan22 4225 Put,SPX,43.7538,1.14
,,"IB1",304,12/7/2021 9:47:10 AM,Sell,1,SPXW  220131P04275000,1/31/2022,Put,SPX Jan22 4275 Put,SPX,49.2038,1.14

,"IB1",2/18/2022,298,"242+2lp 2021-11-17 15:32",SPX,Open,Custom,11/17/2021 3:32 PM,,93,68,357853.00,33.06,-16118.17,-4.50
,,"IB1",298,11/17/2021 3:32:57 PM,Buy,1,SPXW  220430P04300000,4/29/2022,Put,SPX Apr22 4300 Put,SPX,119.98,1.14
,,"IB1",298,11/17/2021 3:32:57 PM,Buy,1,SPXW  220430P03250000,4/29/2022,Put,SPX Apr22 3250 Put,SPX,26.75,1.14
,,"IB1",298,11/17/2021 3:32:57 PM,Sell,2,SPXW  220430P03975000,4/29/2022,Put,SPX Apr22 3975 Put,SPX,74.39,2.28
,,"IB1",298,11/17/2021 3:34:42 PM,Buy,2,SPX   220219P02350000,2/18/2022,Put,SPX Feb22 2350 Put,SPX,2.35,2.28
,,"IB1",298,12/7/2021 11:39:04 AM,Buy,2,SPXW  220430P03975000,4/29/2022,Put,SPX Apr22 3975 Put,SPX,79.25,1.14
,,"IB1",298,12/7/2021 11:39:04 AM,Sell,4,SPXW  220430P04000000,4/29/2022,Put,SPX Apr22 4000 Put,SPX,82.14999,2.28
,,"IB1",298,12/7/2021 11:40:57 AM,Buy,1,SPXW  220430P03250000,4/29/2022,Put,SPX Apr22 3250 Put,SPX,28.4,1.14
,,"IB1",298,12/7/2021 11:42:50 AM,Buy,1,SPXW  220430P04300000,4/29/2022,Put,SPX Apr22 4300 Put,SPX,127.1,1.14
,,"IB1",298,12/14/2021 2:29:17 PM,Buy,2,SPXW  220430P03400000,4/29/2022,Put,SPX Apr22 3400 Put,SPX,35.05,2.28
,,"IB1",298,12/14/2021 2:29:17 PM,Sell,2,SPXW  220430P03250000,4/29/2022,Put,SPX Apr22 3250 Put,SPX,28.25,2.28
,,"IB1",298,12/22/2021 10:27:31 AM,Buy,4,SPXW  220430P04000000,4/29/2022,Put,SPX Apr22 4000 Put,SPX,71.4,4.56
,,"IB1",298,12/22/2021 10:27:31 AM,Sell,4,SPXW  220430P04025000,4/29/2022,Put,SPX Apr22 4025 Put,SPX,74.3,4.56
,,"IB1",298,1/24/2022 9:46:38 AM,Buy,1,SPXW  220430P04025000,4/29/2022,Put,SPX Apr22 4025 Put,SPX,138.6068,1.14
,,"IB1",298,1/24/2022 9:46:38 AM,Sell,1,SPXW  220430P03975000,4/29/2022,Put,SPX Apr22 3975 Put,SPX,127.0568,1.14
,,"IB1",298,1/24/2022 9:55:51 AM,Buy,2,SPXW  220430P04025000,4/29/2022,Put,SPX Apr22 4025 Put,SPX,140.0524,2.28
,,"IB1",298,1/24/2022 9:55:51 AM,Sell,2,SPXW  220430P03975000,4/29/2022,Put,SPX Apr22 3975 Put,SPX,128.5024,2.28

,"IB1",5/20/2022,302,"244 2021-11-22 11:00",SPX,Closed,Custom,11/22/2021 11:05 AM,12/3/2021 1:57 PM,179,11,-1.00,22.67,-1800.49,0.00
,,"IB1",302,11/22/2021 11:05:06 AM,Buy,4,SPX   220521P02700000,5/20/2022,Put,SPX May22 2700 Put,SPX,14.8,4.49
,,"IB1",302,11/22/2021 11:05:06 AM,Buy,2,SPX   220521P04325000,5/20/2022,Put,SPX May22 4325 Put,SPX,131.9,2.24
,,"IB1",302,11/22/2021 11:05:06 AM,Sell,4,SPX   220521P03975000,5/20/2022,Put,SPX May22 3975 Put,SPX,80.8,4.49
,,"IB1",302,11/26/2021 10:23:42 AM,Sell,3,SPX,,Stock,SPX Stock,SPX,4611.67,0.03
,,"IB1",302,12/1/2021 9:51:43 AM,Buy,3,SPX,,Stock,SPX Stock,SPX,4615.16,0.015
,,"IB1",302,12/3/2021 1:57:41 PM,Buy,4,SPX   220521P03975000,5/20/2022,Put,SPX May22 3975 Put,SPX,150.8822,4.56
,,"IB1",302,12/3/2021 1:57:41 PM,Sell,4,SPX   220521P02700000,5/20/2022,Put,SPX May22 2700 Put,SPX,30.2753,4.56
,,"IB1",302,12/3/2021 1:57:41 PM,Sell,2,SPX   220521P04325000,5/20/2022,Put,SPX May22 4325 Put,SPX,232.1637,2.28

